run_id,seed,fault_type,prevalence,stream,method,metric,value,n
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,SR-PDRF-Safe-CF,nll,2.222313020250197,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,SR-PDRF-Safe-CF,brier,0.7322845229352054,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,SR-PDRF-Safe-CF,ece15,0.2974777957049686,323
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,accuracy,0.6022727272727273,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,macro_f1,0.5501785714285714,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,macro_auroc,0.8687290165690902,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,macro_auprc,0.653571377644739,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,nll,2.0349803391077925,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,brier,0.642163229219916,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,PDRF,ece15,0.31810495121912524,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,accuracy,0.6022727272727273,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,macro_f1,0.5569846281413445,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,macro_auroc,0.8690884176637853,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,macro_auprc,0.6592163471799605,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,nll,1.8831503268774774,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,brier,0.6409115228882233,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,RO-PDRF-Full,ece15,0.2932424721392718,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,accuracy,0.5909090909090909,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,macro_f1,0.5416340245775729,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,macro_auroc,0.8702751702292143,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,macro_auprc,0.6555769810327733,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,nll,1.8912944888955516,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,brier,0.6482210657604766,88
CEE-CF10-R2,101,offset,0.1,assigned_but_masked,SR-PDRF-Balanced-CF,ece15,0.32164246453480283,88
