dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,affected,macro_f1,0.447127381730904
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,affected,macro_auroc,0.8257791910154992
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,affected,macro_auprc,0.529604340697842
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,affected,nll,1.793806953310136
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,affected,brier,0.703663104328552
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,affected,ece15,0.23271062272734655
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,accuracy,0.5558480631816473
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,macro_f1,0.5291032448848508
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,macro_auroc,0.8427392863090223
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,macro_auprc,0.594127876710952
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,nll,1.6334370267114657
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,brier,0.641581057036195
chemical,gas_class,101,CAGF,type:offset,offset,1,,0.4,unaffected,ece15,0.20512463483607782
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,accuracy,0.5382676443629697
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,macro_f1,0.5107690296488077
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,macro_auroc,0.8314215262167438
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,macro_auprc,0.5727817928548855
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,nll,1.7313549969963098
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,brier,0.6653276386446513
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,all,ece15,0.2199009525513671
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,accuracy,0.5151338766006985
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,macro_f1,0.4815982238916094
